date,date,open,high,close,low,volume
2005-04-08,,984.66,1003.7,1003.45,979.53,14762500.0
2005-04-11,,1003.88,1008.73,995.42,992.77,15936100.0
2005-04-12,,993.71,993.71,978.7,978.2,10226200.0
2005-04-13,,987.95,1006.5,1000.9,987.95,16071700.0
2005-04-14,,1004.64,1006.42,986.97,985.58,12945700.0
2005-04-15,,982.61,982.61,974.08,971.93,10409000.0
2005-04-18,,970.91,970.91,963.77,958.65,8598400.0
2005-04-19,,962.92,968.87,965.89,957.91,9212620.0
2005-04-20,,964.15,964.15,950.87,946.2,8850700.0
2005-04-21,,948.86,955.55,943.98,938.59,9946150.0
2005-04-22,,942.91,947.91,939.1,934.96,10691900.0
2005-04-25,,935.99,935.99,930.07,920.16,11470500.0
2005-04-26,,928.43,939.7,937.08,924.66,11690500.0
2005-04-27,,938.57,938.91,926.6,925.9,10780600.0
2005-04-28,,923.53,945.5,942.07,914.83,14343500.0
2005-04-29,,940.81,942.45,932.4,929.81,11235400.0
2005-05-09,,934.65,937.39,909.17,909.17,8529110.0
2005-05-10,,905.54,913.39,913.08,892.31,10494300.0
2005-05-11,,911.84,917.22,901.85,900.44,9042050.0
2005-05-12,,899.97,900.06,885.82,883.51,10228700.0
2005-05-13,,883.51,898.51,887.54,875.58,11244900.0
2005-05-16,,885.39,885.39,875.27,869.33,8224289.0
2005-05-17,,873.08,888.28,881.46,868.21,8772270.0
2005-05-18,,881.14,890.4,883.2,871.82,7878610.0
2005-05-19,,882.84,888.02,884.17,871.29,8149579.0
2005-05-20,,883.51,891.02,882.76,879.18,7226679.0
2005-05-23,,880.28,880.28,863.34,862.1,7279800.0
2005-05-24,,861.2,871.77,868.46,855.59,9206929.0
2005-05-25,,867.66,876.3,868.45,861.66,7238560.0
2005-05-26,,867.76,872.84,857.33,854.96,6622789.0
2005-05-27,,855.59,864.96,849.51,848.4,7749979.0
2005-05-30,,847.63,858.46,855.61,842.1,6971579.0
2005-05-31,,856.56,863.2,855.95,853.29,7047820.0
2005-06-01,,855.21,857.66,837.53,836.04,7902300.0
2005-06-02,,835.47,835.49,818.38,812.99,9508660.0
2005-06-03,,816.55,823.86,818.03,807.97,7936060.0
2005-06-06,,816.73,839.15,839.0,807.78,9009189.0
2005-06-07,,841.58,858.09,837.28,835.18,13067100.0
2005-06-08,,848.54,908.83,905.77,844.47,32907800.0
2005-06-09,,907.57,925.36,912.6,895.04,33141800.0
2005-06-10,,911.94,911.94,894.56,889.1,22391500.0
2005-06-13,,895.0,900.18,892.96,877.69,15628000.0
2005-06-14,,895.39,905.41,883.54,882.86,14343600.0
2005-06-15,,881.21,881.25,866.83,865.14,11454100.0
2005-06-16,,866.66,879.49,879.24,861.83,11049700.0
2005-06-17,,883.6,888.08,880.34,876.04,14963000.0
2005-06-20,,881.62,906.48,906.26,872.56,18992100.0
2005-06-21,,906.31,906.31,896.17,894.39,12774800.0
2005-06-22,,894.77,901.24,900.65,891.93,10478100.0
2005-06-23,,900.06,904.9,893.57,892.83,9509310.0
2005-06-24,,892.06,898.67,898.3,888.4,8918739.0
2005-06-27,,904.21,920.65,916.04,904.21,16545400.0
2005-06-28,,913.48,913.48,903.72,901.21,10402200.0
2005-06-29,,906.75,907.57,898.9,898.08,10806700.0
2005-06-30,,897.1,897.1,878.69,876.88,10855500.0
2005-07-01,,875.93,875.93,859.49,858.37,10094600.0
2005-07-04,,855.32,856.1,855.93,842.81,8840279.0
2005-07-05,,853.68,856.74,849.68,845.36,7992689.0
2005-07-06,,850.25,854.45,842.56,838.61,6898310.0
2005-07-07,,841.75,848.02,844.73,839.28,5962460.0
2005-07-08,,842.62,842.62,829.49,827.23,7221000.0
2005-07-11,,837.86,850.66,824.1,822.52,8439010.0
2005-07-12,,821.91,854.29,851.82,818.86,14989900.0
2005-07-13,,850.47,851.95,846.23,841.86,9398839.0
2005-07-14,,844.94,856.09,849.59,843.18,9361970.0
2005-07-15,,849.87,854.6,841.0,837.78,8889560.0
2005-07-18,,839.22,840.01,832.99,829.68,8500000.0
2005-07-19,,831.5,840.14,835.61,829.28,7891820.0
2005-07-20,,835.3,844.71,842.64,832.14,8526470.0
