date,open,high,close,low,volume
2003-07-04,1.287,1.325,1.298,1.272,166259.84
2003-07-07,1.287,1.287,1.257,1.243,50502.04
2003-07-08,1.253,1.267,1.263,1.247,26341.33
2003-07-09,1.257,1.26,1.23,1.224,30905.88
2003-07-10,1.226,1.252,1.244,1.221,24635.89
2003-07-11,1.243,1.243,1.228,1.226,16569.26
2003-07-14,1.228,1.231,1.222,1.209,16485.73
2003-07-15,1.228,1.242,1.234,1.212,16650.2
2003-07-16,1.234,1.235,1.219,1.216,8164.04
2003-07-17,1.219,1.226,1.218,1.211,13212.62
2003-07-18,1.218,1.233,1.192,1.19,17159.45
2003-07-21,1.188,1.188,1.153,1.145,21511.13
2003-07-22,1.16,1.172,1.163,1.145,8896.24
2003-07-23,1.166,1.169,1.156,1.147,5153.06
2003-07-24,1.156,1.158,1.128,1.126,11917.3
2003-07-25,1.127,1.142,1.102,1.099,12960.44
2003-07-28,1.094,1.119,1.111,1.093,6051.46
2003-07-29,1.105,1.125,1.119,1.097,7456.71
2003-07-30,1.119,1.119,1.107,1.096,4495.48
2003-07-31,1.102,1.116,1.104,1.102,3422.97
2003-08-01,1.099,1.108,1.087,1.079,9218.22
2003-08-04,1.081,1.109,1.108,1.079,6965.42
2003-08-05,1.109,1.111,1.109,1.097,3786.34
2003-08-06,1.113,1.113,1.099,1.096,3356.0
2003-08-07,1.109,1.124,1.112,1.099,5673.66
2003-08-08,1.117,1.117,1.092,1.087,5276.14
2003-08-11,1.089,1.096,1.093,1.081,3315.23
2003-08-12,1.098,1.117,1.105,1.098,4937.1
2003-08-13,1.105,1.116,1.102,1.09,5336.14
2003-08-14,1.102,1.119,1.099,1.092,6347.77
2003-08-15,1.09,1.109,1.099,1.089,3801.54
2003-08-18,1.099,1.104,1.09,1.09,2678.69
2003-08-19,1.089,1.118,1.106,1.089,4678.5
2003-08-20,1.108,1.134,1.126,1.103,11612.07
2003-08-21,1.126,1.126,1.115,1.111,5402.47
