date,open,high,close,low,volume,amount
2017-12-06,13.26,13.27,13.08,12.79,161984496.0,2104168537.0
2017-12-05,13.15,13.49,13.3,13.1,172368132.0,2301867654.0
2017-12-04,13.05,13.37,13.3,13.0,145402345.0,1923315713.0
2017-12-01,13.4,13.48,13.0,12.96,178493315.0,2354299657.0
2017-11-30,13.7,13.73,13.38,13.26,137963571.0,1866700885.0
2017-11-29,13.73,13.93,13.82,13.47,156409493.0,2148312655.0
2017-11-28,13.85,13.85,13.7,13.4,176643250.0,2396540133.0
2017-11-27,14.3,14.3,13.93,13.75,206408533.0,2878491901.0
2017-11-24,14.29,14.59,14.56,13.78,263018967.0,3732597276.0
2017-11-23,15.15,15.24,14.35,14.07,242914214.0,3562843400.0
2017-11-22,14.48,15.24,15.1,14.48,257023146.0,3839501154.0
2017-11-21,14.07,14.79,14.45,14.01,249532781.0,3609849025.0
2017-11-20,13.13,14.25,14.25,13.05,284392582.0,3860145473.0
2017-11-17,13.17,13.46,13.18,13.03,206414972.0,2731215934.0
2017-11-16,12.9,13.12,13.1,12.67,120081480.0,1550701791.0
2017-11-15,12.9,13.13,12.9,12.77,126305227.0,1627912725.0
2017-11-14,12.95,13.26,12.95,12.81,178030247.0,2318092534.0
2017-11-13,12.35,13.1,12.9,12.35,256690623.0,3307955289.0
2017-11-10,12.37,12.55,12.3,12.15,175755227.0,2167126598.0
2017-11-09,12.2,12.57,12.33,12.15,229528934.0,2839861735.0
2017-11-08,12.0,12.59,12.13,11.93,426282573.0,5199224277.0
2017-11-07,11.27,12.09,11.92,11.25,247716326.0,2914269160.0
2017-11-06,11.42,11.42,11.28,11.09,102990281.0,1157303986.0
2017-11-03,11.49,11.68,11.39,11.35,74334322.0,852032108.0
2017-11-02,11.36,11.58,11.54,11.26,60430848.0,689229874.0
2017-11-01,11.56,11.59,11.4,11.32,69261790.0,792881043.0
2017-10-31,11.55,11.58,11.54,11.39,62749138.0,721237474.0
2017-10-30,11.55,11.73,11.56,11.45,127824694.0,1484495473.0
2017-10-27,11.19,11.56,11.56,11.18,136008642.0,1548543732.0
2017-10-26,11.25,11.32,11.18,11.12,92899607.0,1041707023.0
2017-10-25,11.36,11.37,11.27,11.25,41857360.0,472708178.0
2017-10-24,11.2,11.42,11.39,11.18,61887194.0,700896872.0
2017-10-23,11.39,11.4,11.19,11.15,107446502.0,1206888282.0
2017-10-20,11.59,11.59,11.48,11.41,46180808.0,529747048.0
2017-10-19,11.64,11.72,11.63,11.57,72276482.0,841546799.0
2017-10-18,11.53,11.7,11.69,11.51,87136536.0,1011050928.0
2017-10-17,11.62,11.65,11.51,11.48,50637234.0,585333998.0
2017-10-16,11.36,11.6,11.59,11.29,103625064.0,1190724205.0
2017-10-13,11.56,11.56,11.36,11.25,73737596.0,839662735.0
2017-10-12,11.54,11.58,11.55,11.47,57806531.0,667148378.0
2017-10-11,11.48,11.58,11.53,11.34,65807758.0,756203405.0
2017-10-10,11.33,11.5,11.47,11.33,74792530.0,853665849.0
2017-10-09,11.57,11.64,11.3,11.26,132522731.0,1520609512.0
2017-09-29,10.92,11.16,11.11,10.86,68228010.0,753852535.0
2017-09-28,10.98,10.98,10.88,10.82,51722002.0,563485127.0
2017-09-27,11.01,11.08,10.93,10.9,72718820.0,798377280.0
2017-09-26,11.26,11.3,11.05,10.96,96746090.0,1074228194.0
2017-09-25,11.44,11.45,11.29,11.18,53239104.0,602270303.0
2017-09-22,11.43,11.52,11.44,11.31,59392762.0,677622490.0
2017-09-21,11.26,11.51,11.46,11.2,69240793.0,788605301.0
2017-09-20,11.14,11.37,11.29,11.05,78715469.0,884640964.0
2017-09-19,11.25,11.34,11.13,11.08,76421262.0,853816000.0
2017-09-18,11.25,11.32,11.25,11.2,60761296.0,684223023.0
2017-09-15,11.29,11.32,11.29,11.15,64609481.0,726061100.0
2017-09-14,11.43,11.59,11.32,11.24,88308777.0,1005775578.0
2017-09-13,11.49,11.54,11.43,11.34,66823742.0,765028185.0
2017-09-12,11.38,11.54,11.54,11.27,84618342.0,962032172.0
2017-09-11,11.54,11.69,11.38,11.3,69947275.0,801825015.0
2017-09-08,11.46,11.64,11.49,11.38,48127615.0,553644520.0
2017-09-07,11.65,11.75,11.44,11.39,61418724.0,711036421.0
2017-09-06,11.59,11.88,11.7,11.48,79162155.0,925519044.0
2017-09-05,11.68,11.94,11.64,11.6,128751876.0,1513759541.0
2017-09-04,11.18,11.72,11.72,11.17,135232557.0,1551875034.0
2017-09-01,11.28,11.39,11.21,11.15,95997689.0,1080996319.0
2017-08-31,11.39,11.44,11.28,11.15,115178646.0,1297730596.0
2017-08-30,11.68,11.7,11.43,11.35,109667476.0,1264128141.0
2017-08-29,11.3,11.74,11.67,11.28,135798373.0,1569230034.0
2017-08-28,11.1,11.54,11.35,11.1,160393832.0,1828380086.0
2017-08-25,10.94,11.17,11.11,10.9,96394000.0,1068994547.0
2017-08-24,10.89,11.11,10.93,10.84,92424863.0,1014933652.0
2017-08-23,10.63,10.98,10.9,10.59,131915190.0,1430051908.0
2017-08-22,10.48,10.66,10.65,10.37,87568181.0,922881866.0
2017-08-21,10.43,10.52,10.46,10.39,39915487.0,417653111.0
2017-08-18,10.36,10.6,10.44,10.29,61652041.0,643188717.0
2017-08-17,10.35,10.42,10.42,10.29,55364211.0,573093950.0
2017-08-16,10.29,10.37,10.34,10.15,75680602.0,778517622.0
2017-08-15,10.24,10.51,10.31,10.21,107516235.0,1116749994.0
2017-08-14,10.13,10.25,10.22,10.04,115766464.0,1175479139.0
2017-08-11,10.48,10.54,10.02,9.99,244064335.0,2501779371.0
2017-08-10,10.7,10.82,10.62,10.54,95987996.0,1026676006.0
2017-08-09,10.96,11.02,10.73,10.68,104232181.0,1126512108.0
2017-08-08,11.0,11.11,11.05,10.91,68956744.0,758872029.0
2017-08-07,11.06,11.17,11.0,10.9,86064427.0,946975700.0
2017-08-04,11.0,11.29,11.17,10.93,135395156.0,1511389828.0
2017-08-03,11.14,11.22,11.01,10.97,98421938.0,1090954132.0
2017-08-02,11.05,11.34,11.15,10.96,206206907.0,2307726683.0
2017-08-01,10.64,11.08,11.04,10.6,203570991.0,2222887934.0
2017-07-31,10.8,10.82,10.67,10.45,157586439.0,1671814035.0
2017-07-28,10.61,10.81,10.74,10.58,81919535.0,877769279.0
2017-07-27,10.72,10.77,10.59,10.53,119449040.0,1273888886.0
2017-07-26,10.92,11.18,10.74,10.66,169741211.0,1846282152.0
2017-07-25,10.98,11.27,11.0,10.95,195476835.0,2172114597.0
2017-07-24,10.82,11.06,10.95,10.73,169266444.0,1846886679.0
2017-07-21,10.83,10.95,10.89,10.69,150102000.0,1625416437.0
2017-07-20,10.92,11.06,10.81,10.75,153733858.0,1695060974.0
2017-07-19,10.83,11.03,10.93,10.72,193307592.0,2131336294.0
2017-07-18,10.6,10.98,10.89,10.47,234943191.0,2558433986.0
2017-07-17,10.79,11.17,10.66,10.57,327312315.0,3608692279.0
2017-07-14,10.66,10.78,10.74,10.51,172257026.0,1864449202.0
2017-07-13,10.15,10.74,10.74,10.09,299453432.0,3180144566.0
2017-07-12,10.12,10.43,10.19,10.05,299884401.0,3113681339.0
2017-07-11,9.47,10.31,10.1,9.47,381208660.0,3842010171.0
2017-07-10,9.31,9.52,9.45,9.31,136081591.0,1303090005.0
2017-07-07,9.24,9.34,9.33,9.21,76036958.0,717084352.0
2017-07-06,9.23,9.28,9.27,9.18,73891186.0,691387184.0
2017-07-05,9.16,9.25,9.24,9.14,56772000.0,529294114.0
2017-07-04,9.27,9.28,9.21,9.17,48836253.0,456577021.0
2017-07-03,9.27,9.3,9.27,9.21,38834937.0,364465847.0
2017-06-30,9.27,9.3,9.26,9.18,49963349.0,468003517.0
2017-06-29,9.3,9.31,9.3,9.24,48880457.0,459810416.0
2017-06-28,9.22,9.35,9.3,9.2,116879622.0,1102438100.0
2017-06-27,9.17,9.26,9.23,9.14,54601613.0,509162009.0
2017-06-26,9.13,9.27,9.17,9.13,71076995.0,663762850.0
2017-06-23,9.1,9.14,9.12,9.03,58400441.0,538303574.0
2017-06-22,9.02,9.27,9.12,9.01,142695815.0,1325210565.0
2017-06-21,9.04,9.05,9.02,8.98,49693219.0,454488888.0
2017-06-20,8.99,9.03,8.99,8.96,31361560.0,286053884.0
2017-06-19,8.9,9.02,9.0,8.89,48970481.0,446000773.0
2017-06-16,8.91,8.95,8.89,8.88,28599104.0,258559005.0
2017-06-15,8.95,8.95,8.91,8.9,33779789.0,305610500.0
2017-06-14,8.99,9.0,8.95,8.91,37544431.0,340596136.0
2017-06-13,8.98,9.01,8.99,8.92,44843497.0,407876696.0
2017-06-12,9.02,9.06,8.98,8.97,50457816.0,461493690.0
2017-06-09,9.02,9.09,9.02,8.99,68546808.0,628281688.0
2017-06-08,8.98,9.02,9.0,8.95,38300448.0,348860774.0
2017-06-07,8.89,9.02,9.0,8.88,64572325.0,587357671.0
