date,open,high,close,low,volume
2007-09-05,5799.468,5835.277,5788.976,5710.541,230301057.0
2007-09-06,5806.333,5862.422,5814.922,5803.256,281541032.0
2007-09-07,5765.268,5797.466,5666.934,5646.715,313185682.0
2007-09-10,5619.795,5727.813,5718.764,5583.627,256271560.0
2007-09-11,5721.276,5738.882,5462.57,5436.067,295481240.0
2007-09-12,5423.672,5559.314,5539.834,5407.585,250189093.0
2007-09-13,5546.99,5632.875,5632.875,5540.502,186250572.0
2007-09-14,5643.95,5664.679,5660.689,5519.444,241157825.0
2007-09-17,5642.168,5728.827,5700.499,5624.853,254745524.0
2007-09-18,5704.741,5704.741,5637.688,5568.557,258135930.0
2007-09-19,5644.334,5672.227,5526.357,5488.6,214545546.0
2007-09-20,5543.542,5594.147,5549.621,5469.245,201964504.0
2007-09-21,5577.744,5577.744,5494.828,5406.836,226850866.0
2007-09-24,5498.221,5511.499,5497.319,5438.61,213665278.0
2007-09-25,5548.625,5647.088,5647.088,5526.198,184944088.0
2007-09-26,5672.872,5689.479,5550.623,5530.379,134204372.0
2007-09-27,5550.701,5655.167,5647.728,5518.311,130392108.0
2007-09-28,5675.152,5817.805,5799.915,5675.152,178684806.0
2007-10-08,5893.818,5908.806,5813.02,5757.339,194170679.0
2007-10-09,5798.427,5895.251,5882.229,5736.298,173301806.0
2007-10-10,5890.801,5988.626,5944.649,5859.772,208711910.0
2007-10-11,5931.258,5934.81,5882.289,5866.768,218616734.0
2007-10-12,5875.055,5877.397,5800.505,5514.912,262105380.0
2007-10-15,5768.34,5794.485,5742.521,5681.659,194173104.0
2007-10-16,5747.861,5781.474,5763.706,5689.387,181197264.0
2007-10-17,5757.755,5811.527,5793.573,5741.218,181197147.0
2007-10-18,5812.454,5812.454,5638.229,5619.05,173998526.0
2007-10-19,5643.069,5754.538,5754.538,5606.905,179849088.0
2007-10-22,5687.782,5732.444,5592.661,5582.467,186637433.0
2007-10-23,5590.573,5622.378,5585.398,5486.327,188682543.0
2007-10-24,5587.832,5662.867,5579.26,5561.867,166858662.0
2007-10-25,5545.993,5550.898,5316.324,5260.801,217739171.0
2007-10-26,5253.924,5363.889,5336.993,5220.534,132446331.0
2007-10-29,5345.564,5398.871,5376.996,5309.759,116101493.0
2007-10-30,5367.951,5394.719,5366.274,5317.744,111952829.0
2007-10-31,5391.541,5483.689,5481.878,5391.541,182013871.0
2007-11-01,5489.249,5489.249,5346.012,5346.012,134310161.0
2007-11-02,5283.963,5290.492,5201.668,5166.491,133729052.0
2007-11-05,5182.366,5298.598,5266.693,5174.328,109325632.0
2007-11-06,5265.054,5341.564,5313.045,5265.054,97316334.0
2007-11-07,5326.326,5362.405,5312.867,5258.624,84859942.0
2007-11-08,5308.894,5329.809,5169.265,5168.387,104312848.0
2007-11-09,5134.608,5182.483,5070.463,5036.186,103115598.0
2007-11-12,5012.548,5021.445,4937.298,4818.953,116676406.0
2007-11-13,4955.617,5069.712,4975.773,4935.82,110734236.0
2007-11-14,5014.787,5154.472,5154.316,5002.353,120778724.0
2007-11-15,5147.49,5168.965,5084.743,5078.552,110294552.0
2007-11-16,5071.346,5094.03,5075.551,4980.1,97746665.0
2007-11-19,5084.73,5207.054,5204.703,5059.588,124619956.0
2007-11-20,5190.412,5294.639,5257.567,5164.786,126305008.0
2007-11-21,5269.71,5325.17,5260.145,5246.215,129623740.0
2007-11-22,5187.161,5233.084,5064.822,5060.681,105599537.0
2007-11-23,5028.746,5167.006,5167.006,5015.407,90384994.0
2007-11-26,5219.88,5257.682,5124.615,5124.125,109151970.0
2007-11-27,5113.416,5130.253,5042.086,5035.497,97806986.0
2007-11-28,5051.585,5084.043,4979.384,4967.085,77992877.0
2007-11-29,5007.273,5108.067,5108.056,4941.016,174774840.0
2007-11-30,5103.596,5103.887,5028.436,5004.931,142749399.0
2007-12-03,5023.355,5093.477,5053.473,5005.371,112662250.0
2007-12-04,5057.664,5126.782,5099.918,5057.664,86431263.0
2007-12-05,5094.003,5260.097,5250.907,5091.564,128451972.0
2007-12-06,5283.616,5299.152,5295.581,5236.063,108782558.0
2007-12-07,5297.127,5331.036,5325.2,5267.597,134948547.0
2007-12-10,5264.364,5551.737,5548.769,5237.323,216130607.0
2007-12-11,5554.782,5680.802,5635.445,5554.782,200371288.0
2007-12-12,5631.183,5690.864,5664.113,5588.936,179607561.0
2007-12-13,5586.206,5644.842,5473.686,5460.187,232674936.0
