date,open,high,close,low,volume
2010-12-15,3.671,3.918,3.701,3.635,763489.0
2010-12-16,3.777,4.064,3.929,3.726,497805.0
2010-12-17,4.09,4.322,4.322,3.978,301569.0
2010-12-20,4.193,4.273,4.153,4.012,254976.0
2010-12-21,4.184,4.234,4.157,4.007,169668.0
2010-12-22,4.092,4.147,3.983,3.959,127442.0
2010-12-23,3.955,4.052,3.944,3.918,92538.0
2010-12-24,3.92,3.988,3.792,3.737,113126.0
2010-12-27,3.782,3.945,3.789,3.759,107039.0
2010-12-28,3.735,3.756,3.525,3.507,88401.0
2010-12-29,3.519,3.62,3.577,3.463,58414.0
2010-12-30,3.599,3.627,3.538,3.497,72579.0
2010-12-31,3.497,3.586,3.581,3.497,61433.0
2011-01-04,3.59,3.895,3.856,3.589,116537.0
2011-01-05,3.782,3.837,3.792,3.747,56246.0
2011-01-06,3.788,3.84,3.797,3.709,49030.0
2011-01-07,3.782,3.836,3.694,3.61,64766.0
2011-01-10,3.698,3.754,3.664,3.616,43588.0
2011-01-11,3.625,3.702,3.575,3.479,41053.0
2011-01-12,3.584,3.633,3.623,3.519,26213.0
2011-01-13,3.563,3.654,3.6,3.563,16698.0
2011-01-14,3.61,3.643,3.437,3.371,59845.0
2011-01-17,3.377,3.434,3.288,3.278,44760.0
2011-01-18,3.267,3.382,3.365,3.218,27831.0
2011-01-19,3.346,3.398,3.38,3.315,21108.0
2011-01-20,3.392,3.4,3.169,3.163,42569.0
2011-01-21,3.152,3.221,3.193,3.136,30318.0
2011-01-24,3.194,3.276,3.198,3.189,25811.0
2011-01-25,3.152,3.243,3.145,3.098,26050.0
2011-01-26,3.146,3.209,3.176,3.128,31842.0
2011-01-27,3.175,3.299,3.236,3.137,34058.0
2011-01-28,3.21,3.254,3.166,3.115,41796.0
2011-01-31,3.175,3.205,3.199,3.126,41367.0
2011-02-01,3.243,3.293,3.248,3.232,46201.0
2011-02-09,3.209,3.229,3.161,3.152,37932.0
2011-02-10,3.145,3.31,3.3,3.112,59246.0
2011-02-11,3.256,3.319,3.298,3.256,59605.0
2011-02-14,3.299,3.381,3.345,3.267,52752.0
2011-02-15,3.33,3.39,3.284,3.279,53922.0
2011-02-16,3.277,3.341,3.33,3.268,30541.0
2011-02-17,3.34,3.345,3.314,3.276,36083.0
2011-02-18,3.301,3.364,3.324,3.278,33255.0
2011-02-21,3.324,3.445,3.431,3.302,52599.0
2011-02-22,3.414,3.422,3.229,3.201,55376.0
2011-02-23,3.224,3.267,3.255,3.215,33573.0
2011-02-25,3.262,3.262,3.243,3.208,20812.0
2011-02-28,3.245,3.346,3.334,3.215,39643.0
2011-03-01,3.341,3.343,3.333,3.288,40540.0
2011-03-02,3.324,3.416,3.392,3.304,43315.0
2011-03-03,3.416,3.421,3.329,3.301,37806.0
2011-03-04,3.307,3.356,3.347,3.307,20483.0
2011-03-07,3.358,3.364,3.34,3.324,33995.0
2011-03-08,3.341,3.345,3.345,3.291,30918.0
2011-03-09,3.371,3.404,3.335,3.324,35680.0
2011-03-10,3.318,3.335,3.324,3.29,37044.0
2011-03-11,3.31,3.327,3.32,3.241,52398.0
2011-03-14,3.29,3.323,3.301,3.267,18957.0
2011-03-15,3.232,3.235,3.154,3.138,95477.0
2011-03-16,3.141,3.19,3.177,3.129,48862.0
2011-03-17,3.151,3.197,3.178,3.137,29164.0
2011-03-18,3.181,3.215,3.16,3.154,23536.0
2011-03-21,3.141,3.22,3.215,3.092,63261.0
2011-03-22,3.192,3.207,3.169,3.142,25733.0
2011-03-23,3.152,3.215,3.196,3.146,23048.0
2011-03-24,3.189,3.205,3.175,3.169,15843.0
2011-03-25,3.175,3.192,3.165,3.153,18566.0
2011-03-28,3.165,3.185,3.136,3.135,23040.0
2011-03-29,3.127,3.129,3.095,3.069,32053.0
2011-03-30,3.095,3.112,3.009,2.992,32447.0
2011-03-31,3.012,3.265,3.209,2.98,65007.0
2011-04-01,3.177,3.204,3.138,3.1,41312.0
2011-04-06,3.141,3.147,3.073,3.061,22540.0
2011-04-07,3.074,3.091,3.059,3.039,18598.0
2011-04-08,3.087,3.087,3.072,3.056,19554.0
2011-04-11,3.111,3.151,3.058,3.055,32880.0
2011-04-12,3.037,3.106,3.103,3.032,25716.0
2011-04-13,3.083,3.133,3.118,3.075,21077.0
2011-04-14,3.127,3.205,3.185,3.108,41292.0
2011-04-15,3.186,3.23,3.209,3.153,42904.0
2011-04-18,3.199,3.238,3.215,3.182,27651.0
2011-04-19,3.209,3.22,3.142,3.129,21392.0
2011-04-20,3.151,3.271,3.246,3.15,46526.0
2011-04-21,3.267,3.278,3.255,3.23,27741.0
2011-04-22,3.255,3.265,3.194,3.171,24042.0
2011-04-25,3.209,3.286,3.223,3.167,37989.0
2011-04-26,3.212,3.299,3.271,3.173,35927.0
2011-04-27,3.296,3.301,3.197,3.186,26370.0
2011-04-28,3.222,3.369,3.228,3.21,58850.0
2011-04-29,3.216,3.238,3.091,2.981,34391.0
2011-05-03,3.094,3.126,3.103,3.047,15278.0
2011-05-04,3.095,3.135,3.087,3.06,16377.0
2011-05-05,3.073,3.115,3.114,3.066,13227.0
2011-05-06,3.095,3.146,3.115,3.072,13548.0
2011-05-09,3.106,3.152,3.089,3.076,16720.0
2011-05-10,3.091,3.107,3.029,3.009,26731.0
2011-05-11,3.029,3.066,3.035,3.018,17563.0
2011-05-12,3.024,3.05,3.01,3.001,11358.0
2011-05-13,2.997,3.032,3.022,2.982,11805.0
2011-05-16,3.024,3.035,2.997,2.992,10018.0
2011-05-17,3.003,3.025,3.011,2.975,16715.0
2011-05-19,3.041,3.043,3.024,3.014,13001.0
2011-05-20,3.014,3.037,3.025,2.989,5266.0
2011-05-23,3.026,3.032,2.875,2.869,29002.0
2011-05-24,2.863,2.894,2.877,2.799,16547.0
2011-05-25,2.864,2.886,2.818,2.806,10132.0
2011-05-26,2.829,2.875,2.783,2.763,11327.0
2011-05-27,2.783,2.783,2.729,2.722,21750.0
2011-05-30,2.727,2.757,2.734,2.695,5614.0
2011-05-31,2.749,2.796,2.774,2.722,8007.0
2011-06-01,2.774,2.829,2.797,2.757,10976.0
2011-06-02,2.728,2.751,2.735,2.674,13469.0
2011-06-03,2.692,2.755,2.743,2.692,7832.0
2011-06-07,2.723,2.77,2.766,2.706,7242.0
2011-06-08,2.802,2.802,2.752,2.728,5684.0
2011-06-09,2.791,2.791,2.706,2.703,6074.0
2011-06-10,2.711,2.735,2.65,2.622,19149.0
2011-06-13,2.636,2.668,2.651,2.601,15191.0
2011-06-14,2.635,2.692,2.672,2.611,14576.0
2011-06-15,2.659,2.67,2.629,2.627,7992.0
2011-06-16,2.624,2.624,2.545,2.541,15078.0
2011-06-17,2.538,2.579,2.548,2.526,8835.0
2011-06-20,2.541,2.553,2.544,2.513,10029.0
2011-06-21,2.55,2.578,2.567,2.532,12997.0
2011-06-22,2.568,2.596,2.578,2.568,4837.0
2011-06-23,2.578,2.705,2.67,2.558,23986.0
2011-06-24,2.66,2.715,2.704,2.652,30872.0
2011-06-27,2.705,2.776,2.72,2.685,20880.0
2011-06-28,2.714,2.777,2.767,2.705,29086.0
2011-06-29,2.762,2.782,2.741,2.728,14010.0
2011-06-30,2.749,2.804,2.784,2.743,16699.0
2011-07-01,2.794,2.807,2.774,2.764,10773.0
2011-07-04,2.779,2.858,2.842,2.779,24902.0
2011-07-05,2.823,2.889,2.873,2.823,12631.0
2011-07-06,2.873,2.878,2.876,2.844,8540.0
2011-07-07,2.878,2.896,2.856,2.843,12491.0
2011-07-08,2.86,2.905,2.899,2.832,17786.0
2011-07-11,2.947,3.082,3.033,2.936,42364.0
2011-07-12,3.009,3.049,3.008,2.975,22726.0
2011-07-13,3.004,3.073,3.071,2.993,25752.0
2011-07-14,3.072,3.158,3.141,3.04,24924.0
2011-07-15,3.141,3.164,3.139,3.109,18557.0
2011-07-18,3.131,3.162,3.074,3.073,18271.0
2011-07-19,3.071,3.073,3.015,3.004,17176.0
2011-07-20,3.021,3.14,3.073,3.021,18504.0
2011-07-21,3.072,3.137,3.097,3.063,24267.0
2011-07-22,3.097,3.13,3.088,3.064,11490.0
2011-07-25,3.069,3.073,3.005,2.981,25077.0
2011-07-26,3.004,3.05,3.011,2.995,10034.0
2011-07-27,2.988,3.067,3.05,2.954,12054.0
2011-07-28,3.042,3.123,3.096,3.016,11613.0
2011-07-29,3.108,3.131,3.078,3.063,7718.0
2011-08-01,3.108,3.301,3.231,3.077,40127.0
2011-08-02,3.219,3.282,3.271,3.177,39894.0
2011-08-03,3.265,3.371,3.271,3.211,28108.0
2011-08-04,3.232,3.34,3.307,3.215,16981.0
2011-08-05,3.165,3.371,3.303,3.165,21109.0
2011-08-08,3.217,3.336,3.229,3.165,28669.0
2011-08-09,3.131,3.286,3.273,3.114,22553.0
2011-08-10,3.315,3.359,3.33,3.28,20573.0
2011-08-12,3.407,3.568,3.524,3.402,56802.0
2011-08-15,3.523,3.597,3.524,3.467,38640.0
2011-08-16,3.49,3.539,3.486,3.442,16435.0
2011-08-17,3.481,3.551,3.522,3.445,15980.0
2011-08-18,3.511,3.521,3.456,3.453,13956.0
2011-08-19,3.391,3.483,3.455,3.385,19464.0
2011-08-22,3.416,3.481,3.358,3.338,19408.0
2011-08-23,3.363,3.428,3.423,3.317,12981.0
2011-08-24,3.43,3.522,3.456,3.43,14269.0
2011-08-25,3.444,3.522,3.499,3.444,12866.0
2011-08-26,3.499,3.539,3.508,3.47,9810.0
2011-08-29,3.485,3.511,3.437,3.432,15899.0
2011-08-30,3.484,3.484,3.448,3.42,11753.0
2011-08-31,3.486,3.486,3.341,3.333,18966.0
2011-09-01,3.338,3.366,3.27,3.244,17926.0
2011-09-02,3.267,3.278,3.238,3.215,15185.0
2011-09-05,3.224,3.25,3.216,3.212,7811.0
2011-09-06,3.223,3.245,3.241,3.196,10237.0
2011-09-07,3.269,3.36,3.348,3.227,11245.0
2011-09-08,3.355,3.413,3.324,3.307,10327.0
2011-09-09,3.338,3.389,3.325,3.237,6884.0
2011-09-13,3.259,3.307,3.272,3.255,5086.0
2011-09-14,3.275,3.293,3.272,3.227,5643.0
2011-09-15,3.283,3.354,3.252,3.223,7957.0
2011-09-16,3.267,3.297,3.254,3.24,2555.0
2011-09-19,3.223,3.246,3.179,3.177,4921.0
2011-09-20,3.179,3.28,3.247,3.142,5938.0
2011-09-21,3.241,3.344,3.334,3.212,12557.0
2011-09-22,3.309,3.323,3.217,3.206,11984.0
2011-09-23,3.2,3.217,3.176,3.128,7461.0
2011-09-27,3.176,3.208,3.112,3.073,11952.0
2011-09-28,3.138,3.188,3.026,3.016,12678.0
2011-09-29,3.005,3.021,2.994,2.942,13260.0
2011-09-30,2.998,3.038,2.981,2.936,8903.0
2011-10-10,2.998,3.122,3.065,2.998,16120.0
2011-10-11,3.142,3.142,3.088,3.048,9122.0
2011-10-12,3.057,3.244,3.209,3.038,13276.0
2011-10-13,3.233,3.286,3.245,3.188,10108.0
2011-10-14,3.244,3.265,3.245,3.202,4765.0
2011-10-17,3.244,3.359,3.287,3.244,12978.0
2011-10-18,3.27,3.316,3.268,3.246,7140.0
2011-10-19,3.276,3.379,3.332,3.246,16304.0
2011-10-20,3.292,3.328,3.259,3.211,9599.0
2011-10-21,3.278,3.329,3.276,3.234,12065.0
2011-10-24,3.255,3.366,3.306,3.108,15810.0
2011-10-25,3.287,3.595,3.587,3.265,39145.0
2011-10-26,3.554,3.61,3.562,3.511,25019.0
2011-10-27,3.562,3.583,3.501,3.476,18955.0
2011-10-28,3.534,3.602,3.528,3.511,18120.0
2011-10-31,3.505,3.682,3.653,3.501,21366.0
2011-11-01,3.626,3.81,3.721,3.62,34404.0
2011-11-02,3.649,3.833,3.821,3.649,21602.0
2011-11-03,3.821,3.89,3.747,3.729,21351.0
2011-11-04,3.781,3.867,3.705,3.664,18478.0
2011-11-07,3.684,3.821,3.783,3.683,14116.0
2011-11-08,3.816,3.816,3.75,3.696,6516.0
2011-11-09,3.741,3.785,3.759,3.683,8447.0
2011-11-10,3.712,3.856,3.759,3.686,15057.0
2011-11-11,3.757,3.798,3.665,3.637,10654.0
2011-11-14,3.696,3.737,3.699,3.65,16515.0
2011-11-15,3.699,3.735,3.728,3.646,10984.0
2011-11-16,3.718,3.724,3.629,3.606,15131.0
2011-11-17,3.626,3.772,3.696,3.603,13778.0
2011-11-18,3.656,3.89,3.657,3.611,44641.0
2011-11-21,3.614,3.833,3.802,3.603,25020.0
2011-11-22,3.779,3.847,3.783,3.73,16638.0
2011-11-23,3.783,3.928,3.829,3.783,19600.0
2011-11-24,3.844,3.844,3.832,3.765,10082.0
2011-11-25,3.799,3.831,3.785,3.718,17136.0
2011-11-28,3.734,3.775,3.661,3.646,15843.0
2011-11-29,3.683,3.725,3.721,3.613,14242.0
2011-11-30,3.69,3.714,3.582,3.545,13812.0
2011-12-01,3.66,3.701,3.644,3.593,12928.0
2011-12-02,3.621,3.729,3.686,3.621,12022.0
2011-12-05,3.706,3.734,3.614,3.568,16143.0
2011-12-06,3.582,3.618,3.557,3.512,10576.0
2011-12-07,3.557,3.579,3.429,3.413,22396.0
2011-12-08,3.429,3.445,3.361,3.306,27468.0
2011-12-09,3.338,3.386,3.32,3.301,11993.0
2011-12-12,3.317,3.36,3.353,3.271,10008.0
2011-12-13,3.329,3.395,3.349,3.315,10421.0
2011-12-14,3.326,3.419,3.363,3.316,11061.0
2011-12-15,3.338,3.475,3.44,3.328,16833.0
2011-12-16,3.384,3.511,3.493,3.37,14831.0
2011-12-19,3.477,3.522,3.522,3.431,12824.0
2011-12-20,3.522,3.568,3.568,3.48,10775.0
2011-12-21,3.588,3.68,3.627,3.553,21607.0
2011-12-22,3.638,3.671,3.591,3.522,10491.0
2011-12-23,3.57,3.649,3.582,3.557,10545.0
2011-12-26,3.562,3.694,3.688,3.529,10529.0
2011-12-27,3.659,3.706,3.638,3.626,12368.0
2011-12-28,3.625,3.625,3.438,3.395,22102.0
2011-12-29,3.416,3.509,3.475,3.383,15704.0
2011-12-30,3.488,3.509,3.47,3.416,18375.0
2012-01-04,3.482,3.499,3.447,3.436,11334.0
2012-01-05,3.408,3.466,3.428,3.353,15274.0
2012-01-06,3.395,3.43,3.391,3.295,14070.0
2012-01-09,3.387,3.459,3.454,3.349,16960.0
2012-01-10,3.465,3.661,3.646,3.432,23423.0
2012-01-11,3.626,3.798,3.712,3.626,21203.0
2012-01-12,3.712,3.794,3.656,3.649,12465.0
2012-01-13,3.676,3.749,3.643,3.608,18746.0
2012-01-16,3.648,3.718,3.466,3.43,19072.0
2012-01-17,3.454,3.718,3.686,3.349,19177.0
2012-01-18,3.695,3.71,3.317,3.317,24783.0
2012-01-19,3.223,3.278,3.226,3.028,39328.0
2012-01-20,3.211,3.549,3.534,3.175,33002.0
2012-01-30,3.511,3.512,3.455,3.414,12716.0
2012-01-31,3.467,3.482,3.352,3.315,10858.0
2012-02-01,3.339,3.442,3.339,3.286,9070.0
2012-02-02,3.379,3.39,3.387,3.305,7920.0
2012-02-03,3.395,3.436,3.399,3.372,6598.0
2012-02-06,3.432,3.511,3.497,3.385,10966.0
2012-02-07,3.492,3.534,3.47,3.439,8670.0
2012-02-08,3.475,3.543,3.531,3.43,9751.0
2012-02-09,3.531,3.557,3.539,3.509,7414.0
2012-02-10,3.516,3.689,3.657,3.486,24429.0
2012-02-13,3.657,3.718,3.695,3.614,12335.0
2012-02-14,3.683,3.683,3.646,3.591,21311.0
2012-02-15,3.589,3.616,3.613,3.497,25517.0
2012-02-16,3.544,3.603,3.527,3.522,25706.0
2012-02-17,3.511,3.57,3.551,3.509,11692.0
2012-02-20,3.574,3.597,3.541,3.528,14643.0
2012-02-21,3.545,3.551,3.541,3.499,11069.0
2012-02-22,3.543,3.641,3.637,3.543,20146.0
2012-02-23,3.62,3.66,3.605,3.568,11831.0
