date,open,high,close,low,volume
1990-12-19,113.1,113.1,113.1,113.1,2650.0
1990-12-20,113.1,113.5,113.5,112.85,1990.0
1990-12-21,113.5,113.5,113.5,113.4,1190.0
1990-12-24,113.5,114.0,114.0,113.3,8070.0
1990-12-25,114.0,114.2,114.1,114.0,2780.0
1990-12-26,114.4,114.4,114.3,114.2,310.0
1990-12-27,114.3,114.3,114.25,114.1,6110.0
1990-12-28,114.3,114.4,114.4,114.2,4840.0
1990-12-31,114.7,114.8,114.7,114.6,2400.0
1991-01-02,115.0,115.0,114.9,114.8,520.0
1991-01-03,115.2,115.2,114.9,114.8,1900.0
1991-01-04,115.2,115.5,115.2,115.0,2100.0
1991-01-07,115.7,116.1,115.7,115.7,830.0
1991-01-08,116.0,116.1,115.7,115.7,1400.0
1991-01-09,116.0,116.0,116.0,115.9,630.0
1991-01-10,116.1,116.4,116.4,116.0,540.0
1991-01-11,116.35,116.5,116.5,116.3,1090.0
1991-01-14,117.0,117.0,117.0,117.0,1610.0
1991-01-15,117.3,117.5,117.5,117.3,270.0
1991-01-16,117.5,118.0,117.9,117.5,1060.0
1991-01-17,117.8,118.0,117.9,117.8,4180.0
1991-01-18,117.9,118.1,118.1,117.9,1040.0
1991-01-21,118.3,118.3,118.3,118.3,130.0
1991-01-22,118.2,118.3,118.3,118.2,1670.0
1991-01-23,118.3,118.4,118.4,118.3,340.0
1991-01-24,118.3,118.4,118.4,118.3,650.0
1991-01-25,118.4,118.7,118.7,118.4,2890.0
1991-01-28,118.6,118.7,118.7,118.5,9750.0
1991-01-29,118.7,118.7,118.7,118.7,1230.0
1991-01-30,118.7,118.7,118.7,118.7,1170.0
1991-01-31,118.8,118.9,118.8,118.8,690.0
1991-02-01,119.0,119.0,119.0,118.9,540.0
1991-02-04,119.1,119.2,119.1,119.1,3850.0
1991-02-05,119.2,119.5,119.3,119.2,2840.0
1991-02-06,119.5,119.7,119.7,119.5,890.0
1991-02-07,119.5,119.9,119.9,119.5,850.0
1991-02-08,120.2,120.2,120.0,120.0,100.0
1991-02-11,120.2,120.3,120.3,120.2,930.0
1991-02-12,119.4,120.5,120.5,119.4,5190.0
1991-02-13,120.5,120.6,120.5,120.5,1100.0
1991-02-14,120.5,120.7,120.7,120.5,350.0
1991-02-19,120.9,121.2,121.0,120.9,400.0
1991-02-20,121.1,121.3,121.2,121.1,230.0
1991-02-21,121.3,121.4,121.3,121.3,130.0
1991-02-22,121.6,121.9,121.9,121.6,1470.0
1991-02-25,122.1,122.4,122.4,122.1,1390.0
1991-02-26,122.5,122.8,122.7,122.5,930.0
1991-02-27,122.6,122.7,122.6,122.6,200.0
1991-02-28,122.5,122.6,122.6,122.5,460.0
1991-03-01,122.7,122.7,122.6,122.6,700.0
1991-03-04,122.6,122.8,122.7,122.6,960.0
1991-03-05,122.7,123.1,122.9,122.7,2710.0
1991-03-06,122.8,123.0,122.9,122.7,1140.0
1991-03-07,122.9,122.9,122.8,122.8,10820.0
1991-03-08,122.9,123.1,123.1,122.9,2540.0
1991-03-11,123.0,123.3,123.2,123.0,3110.0
1991-03-12,123.0,123.1,123.1,123.0,1450.0
1991-03-13,123.1,123.1,123.1,123.0,7840.0
1991-03-14,123.1,123.2,123.2,123.1,5260.0
1991-03-15,123.2,123.3,123.3,123.2,3180.0
1991-03-18,123.3,123.8,123.8,123.3,3580.0
